"Numéro de la circonscription";"Numéro du candidat";"Nom";"Prénom";"Numéro du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux de vote";"Nombre de votes en avance"
"648";"1375";"Dufour";"Pierre";"27";"C.A.Q.-É.F.L.";"8967";"42.72";"4877"
"648";"1732";"Larouche";"Élizabeth";"8";"P.Q.";"4090";"19.48";"0"
"648";"1385";"Bourgeois";"Guy";"6";"P.L.Q./Q.L.P.";"3936";"18.75";"0"
"648";"1721";"Cyr";"Lyne";"40";"Q.S.";"3287";"15.66";"0"
"648";"1872";"Paquette";"Mélina";"10";"P.V.Q./G.P.Q.";"356";"1.7";"0"
"648";"1876";"Caron";"Éric";"31";"C.P.Q.";"355";"1.69";"0"
"642";"1530";"Blais";"Suzanne";"27";"C.A.Q.-É.F.L.";"7680";"34.12";"194"
"642";"1693";"Vachon";"Sylvain";"8";"P.Q.";"7486";"33.26";"0"
"642";"1213";"Marquis";"Rose";"40";"Q.S.";"3735";"16.59";"0"
"642";"1984";"Veilleux";"Martin";"6";"P.L.Q./Q.L.P.";"2546";"11.31";"0"
"642";"1649";"Lévesque";"Stéphane";"31";"C.P.Q.";"388";"1.72";"0"
"642";"1608";"Couture";"Yan-Dominic";"10";"P.V.Q./G.P.Q.";"254";"1.13";"0"
"642";"2040";"Lacroix";"Eric";"22";"P.C.Q./C.P.Q.";"248";"1.1";"0"
"642";"2022";"Sylvestre";"Maxim";"0";"Ind";"172";"0.76";"0"
"338";"1292";"St-Pierre";"Christine";"6";"P.L.Q./Q.L.P.";"14305";"53.8";"9914"
"338";"1539";"Chiasson";"Sophie";"27";"C.A.Q.-É.F.L.";"4391";"16.51";"0"
"338";"1578";"Martinova-Croteau";"Viviane";"40";"Q.S.";"3656";"13.75";"0"
"338";"1887";"Sam";"Farida";"8";"P.Q.";"2394";"9.0";"0"
"338";"1698";"Sicotte";"Laurence";"10";"P.V.Q./G.P.Q.";"737";"2.77";"0"
"338";"1305";"Chouinard";"Jocelyn";"22";"P.C.Q./C.P.Q.";"579";"2.18";"0"
"338";"1538";"Welt";"Michel";"34";"N.P.D.Q.";"442";"1.66";"0"
"338";"1588";"Breton";"Yvon";"7";"P.M.L.Q.";"87";"0.33";"0"
