Circonscription;age_moyen;age_median;Nombre_moyen_de_personnes_par_ménage;famille_revenu_median;famille_revenu_moyen;Nombre moyen de personnes par famille;temps_de_travail_semaines_travaillées_moyennes;ratio_hommes;ratio_femmes;ratio_0-14;ratio_15-29;ratio_30-44;ratio_45-59;ratio_60-74;ratio_75-plus;ratio_maison_individuelle;ratio_maison_jumelée;ratio_maison_rangée;ratio_appartement_pleinpied_ou_duplex;ratio_appartement_moinscinqétages;ratio_appartement_pluscinqétages;ratio_autre_maison;ratio_logement_mobile;ratio_propriétaires;ratio_locataires;ratio_logement_de_bande;ratio_moins30pourcent;ratio_plus30pourcent;ratio_maison_anglais;ratio_maison_français;ratio_maison_non_officielle;ratio_maison_autochtone;ratio_maison_non_autochtone;ratio_maison_français_et_anglais;ratio_maison_anglais_et_non_officielle;ratio_maison_français_et_non_officielle;ratio_maison_anglais_et_français_et_non_officielle;ratio_maison_non_officielles_multiples;ratio_canadiens;ratio_non_canadiens;ratio_1re_generation;ratio_2e_generation;ratio_3e_generation;ratio_bouddhiste;ratio_chrétienne;ratio_nda;ratio_anabaptiste;ratio_anglicane;ratio_baptiste;ratio_catholique;ratio_orthodoxe_chrétienne;ratio_témoins_jehovah;ratio_saints_derniers_jours;ratio_luthérienne;ratio_méthodiste;ratio_pentecôtiste;ratio_presbytérienne;ratio_réformée;ratio_église_unie;ratio_autres_chrétiennes;ratio_hindous;ratio_juive;ratio_musulmane;ratio_sikhe;ratio_spiritualité;ratio_autres_religions;ratio_aucune_religion;ratio_pas_travaillé;ratio_travail_plein;ratio_travail_partiel;ratio_travailleurs_sans_objet;ratio_travailleurs_permanents;ratio_travailleurs_temporaires;ratio_travailleurs_autonomes;ratio_industrie_sans_objet;ratio_industrie_11;ratio_industrie_21;ratio_industrie_22;ratio_industrie_23;ratio_industrie_31_33;ratio_industrie_41;ratio_industrie_44_45;ratio_industrie_48_49;ratio_industrie_51;ratio_industrie_52;ratio_industrie_53;ratio_industrie_54;ratio_industrie_55;ratio_industrie_56;ratio_industrie_61;ratio_industrie_62;ratio_industrie_71;ratio_industrie_72;ratio_industrie_81;ratio_industrie_91;ratio_langue_travail_anglais;ratio_langue_travail_français;ratio_langue_travail_non_officielle;ratio_langue_travail_autochtone;ratio_langue_travail_non-autochtone;ratio_langue_travail_francais_et_anglais;ratio_langue_travail_anglais_et_non_officielle;ratio_langue_travail_français_et_non_officielle;ratio_langue_travail_français_et_anglais_et_non_officielle;ratio_langue_travail_non_officielles_multiples;ratio_transport_automobile;ratio_transport_en_commun;ratio_transport_à_pied;ratio_transport_vélo;ratio_transport_autre;ratio_durée_moins_15;ratio_durée_15_29;ratio_durée_30_44;ratio_durée_45_59;ratio_durée_60_plus;ratio_aucun_diplôme;ratio_des;ratio_apprenti_métier;ratio_cegep_collège;ratio_université_inférieur_bac;ratio_bac;ratio_supérieur_bac;ratio_medecine_dentaire_opto_vétérinaire;ratio_maîtrise;ratio_doctorat
Abitibi-Est;42.2;42.8;2.2;104000;121000;2.8;41.6;0.5095902848711837;0.49040971512881626;0.1772252497729337;0.1615576748410536;0.18505903723887376;0.19720708446866486;0.20208900999091733;0.07686194368755676;0.5512756378189094;0.0392696348174087;0.01950975487743872;0.10230115057528764;0.25587793896948474;0.011255627813906953;0.004502251125562781;0.016008004002001;0.6184046011502876;0.36409102275568894;0.017504376094023506;0.8830005120327701;0.1169994879672299;0.015268915223336371;0.9059936189608022;0.004785779398359161;0.0019371011850501368;0.0028486782133090244;0.04022333637192343;0.0034184138559708297;0.01845943482224248;0.00695077484047402;0.00011394712853236098;0.9845015035854731;0.01549849641452695;0.029956049040018504;0.02868378440897525;0.9413601665510063;0.0005423361128059115;0.4140736221273134;0.023252660836553453;0.0;0.0011524642397125618;0.0016270083384177345;0.37841502271032473;0.00013558402820147786;0.0024405125076266015;0.00013558402820147786;0.0;0.0;0.003931936817842858;0.0;0.0;0.00013558402820147786;0.002847264592231035;0.0;0.0;0.006101281269066504;0.0;0.003254016676835469;0.0008135041692088672;0.16114161751745645;0.34557784684939247;0.35137044362814357;0.30305170952246396;0.014524647887323943;0.7799295774647887;0.1287411971830986;0.07680457746478873;0.014518257809062912;0.017377914650241973;0.15508139023317202;0.008578970523537175;0.047954245490541135;0.06841179058512978;0.027056753189617245;0.11108666959964804;0.052353717553893536;0.014518257809062912;0.01627804663440387;0.009238891333040036;0.050813902331720194;0.0004399472063352398;0.03893532776066872;0.06841179058512978;0.13616366036075672;0.007699076110866696;0.05939287285525737;0.04927408710954685;0.04641443026836779;0.016724454415663878;0.8211299204568632;0.0;0.0004079135223332653;0.0;0.15521109524780746;0.0;0.0034672649398327553;0.00305935141749949;0.0;0.8912493677288822;0.0037936267071320183;0.0622154779969651;0.0065756196256954984;0.03616590794132524;0.592058674759737;0.23191704602933738;0.09129994941831057;0.03844208396560445;0.04628224582701062;0.28214184797965525;0.21135914100028255;0.21884713195818029;0.13718564566261657;0.02486578129415089;0.09395309409437694;0.009748516530093246;0.0032495055100310822;0.015117264764057644;0.0035320712065555243
Abitibi-Ouest;43.5;45.2;2.2;98000;110400;2.8;41.5;0.5097714474991719;0.4902285525008281;0.16974047487575925;0.15273329652125897;0.17636664826062948;0.19337382661512975;0.2228602981778023;0.08492545554942021;0.7144981412639405;0.02379182156133829;0.01685254027261462;0.06022304832713755;0.1687732342007435;0.0004956629491945477;0.004213135068153655;0.011152416356877323;0.7262583684602033;0.26655095462434913;0.007190676915447558;0.906060606060606;0.09393939393939393;0.0044553352639786145;0.9659166852305636;0.0007796836711962575;0.00033415014479839606;0.0005569169079973268;0.01826687458231232;0.0016707507239919804;0.0051236355535754065;0.002784584539986634;0.00011138338159946537;0.9934337144797917;0.006566285520208309;0.014715870500339597;0.012338691419515508;0.9729454380801449;0.0001922214390978407;0.4342282309220222;0.02152880117895816;0.0;0.0009611071954892036;0.001345550073684885;0.4051387198052156;0.0;0.0010892548215544306;0.0;0.0;0.0;0.001217402447619658;0.0;0.0;0.0;0.0028833215864676105;0.0;0.0;0.0012814762606522714;0.0;0.0007048119433587493;0.0007688857563913628;0.12866021656948806;0.36623767798466594;0.33146221248630886;0.3023001095290252;0.015880017644464048;0.7501102779003088;0.13630348478164975;0.09770621967357741;0.01587651598676957;0.05093715545755237;0.10672546857772877;0.010143329658213893;0.06504961411245866;0.0866593164277839;0.03197353914002205;0.11289966923925028;0.04388092613009923;0.004630650496141125;0.017420066152149943;0.007938257993384785;0.030871003307607496;0.0;0.02954796030871003;0.06945975744211687;0.1585446527012128;0.007717750826901874;0.04917309812568908;0.04520396912899669;0.055347298787210585;0.008343508343508343;0.914936914936915;0.0;0.0;0.0;0.0752950752950753;0.0;0.0010175010175010174;0.000407000407000407;0.0;0.8645563051375195;0.027503892060197196;0.06798131811105346;0.006227296315516347;0.033731188375713546;0.46588845654993516;0.24332036316472114;0.11024643320363164;0.055771725032425425;0.12477302204928664;0.28947008078871694;0.1929344105162262;0.2611255648363686;0.1309051074900726;0.025879775434752842;0.07325756538408873;0.00862659181158428;0.005066411063946324;0.010954402300424482;0.0017800903738189786
Acadie;41.1;40.4;2.4;86000;102400;3.2;38.3;0.488127770692901;0.5118722293070991;0.17836754524474674;0.179460706911211;0.21031215838697923;0.19197133487185716;0.13840641321510994;0.10148184137009596;0.07311669128508123;0.05273264401772526;0.012407680945347119;0.1051698670605613;0.4172821270310192;0.33677991137370755;0.002363367799113737;0.00014771048744460856;0.3867868755542418;0.6132131244457582;0.0;0.7596668649613325;0.24033313503866746;0.07126484684309231;0.24880183371535736;0.15534486351323193;5.209418628881017e-05;0.15534486351323193;0.047561992081683685;0.0763179829131069;0.1290893936236716;0.1070014586372161;0.0092206709731194;0.8029251828239264;0.1970748171760735;0.5742233889618101;0.23288955559722482;0.19288705544096507;0.01109421867937708;0.3427702674939393;0.056498335867198095;0.0;0.0013559600608127542;0.00304063771212557;0.18543781074084728;0.07507087973045158;0.0015614085548752929;0.00036980728931256934;0.0003287175905000616;8.21793976250154e-05;0.00501294325512594;0.0016024982536878005;0.0;0.000698524879812631;0.011505115667502158;0.0213255536836915;0.002342112832312939;0.16764597115503144;0.006903069400501294;0.0;0.0020544849406253854;0.10329950281464437;0.40091813312930374;0.2782708492731446;0.32081101759755165;0.03910614525139665;0.6854127870887647;0.15195530726256984;0.12352576039726877;0.03911585744443065;0.0023593691791878803;0.000496709300881659;0.005463802309698249;0.028684962125915807;0.1019495840059605;0.0429653545262635;0.12318390661865143;0.07177449397739973;0.027070656898050417;0.04681485160809636;0.01800571215696014;0.0959890723953806;0.0013659505774245623;0.04768409288463926;0.0748789271079101;0.13075872345709674;0.01018254066807401;0.059977648081460326;0.03725319756612443;0.03402458711039364;0.1453447875551428;0.3503598792663107;0.01068028790341305;0.0;0.01068028790341305;0.4136289760854423;0.017761783143719526;0.011725098676573021;0.0388901787787323;0.0009287206872533086;0.6481828400149869;0.2529037092544024;0.06650430872986138;0.01105282877482203;0.021356313225927313;0.17256885890949972;0.3872962338392355;0.25782274686153267;0.09855724189619637;0.0837549184935357;0.17655161858115864;0.19851534399632662;0.08058467896227137;0.15565929440575496;0.044616208770184435;0.20180607637560266;0.03979490319124512;0.011020127037575572;0.07981939236243973;0.01163235631744088
Anjou-Louis-Riel;43.4;43.6;2.2;91000;107800;3.0;40.2;0.4779908819368024;0.5220091180631976;0.17112089294136143;0.15657915422103444;0.19100770319132213;0.19336582298380758;0.1751296965885867;0.11279673007388775;0.06407525736599219;0.04153354632587859;0.03425630102946397;0.11945331913383031;0.6001064962726305;0.13844515441959532;0.001774937877174299;0.0003549875754348598;0.40897799858055356;0.5910220014194464;0.0;0.8071708883339279;0.19282911166607206;0.045474420638390904;0.48753825972890247;0.08162075499198368;0.0;0.08162075499198368;0.048535198950590296;0.019384929310596124;0.16688529368896662;0.06515085264538698;0.003789535053199242;0.8679456434852119;0.13205435651478817;0.4081534772182254;0.20503597122302158;0.386810551558753;0.009946749723701397;0.3715462674570481;0.03958605445594293;0.0;0.00045212498744097256;0.005023610971566362;0.2821762282728825;0.01652768009645333;0.002762986034361499;0.0010047221943132723;0.0002009444388626545;0.0;0.005475735959007334;0.0003014166582939817;0.0;0.0008540138651662815;0.017130513413041296;0.0009042499748819451;0.0007033055360192907;0.11755249673465287;0.00035165276800964534;0.0;0.002511805485783181;0.12498744097257108;0.40195509097948123;0.30391018195896247;0.29413472706155636;0.0313800832532821;0.729106628242075;0.14217098943323728;0.0973422990714057;0.031385108086469174;0.0025620496397117695;0.0009607686148919135;0.006405124099279423;0.04243394715772618;0.08102481985588471;0.03154523618895116;0.11016813450760608;0.0533226581265012;0.02497998398718975;0.05156124899919936;0.018574859887910328;0.08038430744595676;0.001921537229783827;0.0611689351481185;0.07526020816653323;0.17614091273018415;0.011529223378702963;0.04803843074459568;0.03811048839071257;0.052522017614091275;0.04906400966183575;0.592391304347826;0.005132850241545894;0.0;0.005132850241545894;0.3073671497584541;0.00392512077294686;0.012228260869565218;0.024758454106280192;0.0;0.6371203599550056;0.2803149606299213;0.05759280089988751;0.011698537682789651;0.01327334083239595;0.20238362941308746;0.3145941083876771;0.2705194513154936;0.11715763436024286;0.09534517652349898;0.1810086148485142;0.21120898267350693;0.12089826735069209;0.16794114800116156;0.05314103184590069;0.16542445068241216;0.032426676991578744;0.007550091956248185;0.05275384764301617;0.007646888006969316
Argenteuil  ;44.9;48.0;2.2;94000;107700;2.8;41.1;0.5089661624824575;0.4910338375175425;0.15701255164886568;0.12988227956653933;0.17548920246355343;0.21743197941841427;0.23575270912918064;0.08443127777344664;0.7777777777777778;0.022952529994783515;0.009041905755520779;0.0705964180142584;0.10815510346026778;0.0003477656059815684;0.005216484089723527;0.005912015301686663;0.7626262626262627;0.23737373737373738;0.0;0.8562642769284836;0.14373572307151644;0.10298588914009511;0.798238091525688;0.0049115147735245964;0.0;0.0049115147735245964;0.06985265455679426;0.0040539487019568094;0.006002962500974507;0.008887502923520698;0.00015592110392141577;0.9893794087342475;0.010620591265752556;0.04723785368946659;0.04929856542759769;0.9034635808829358;0.0005212282031842305;0.4023881728582259;0.020517437452615618;0.00018953752843062926;0.0077710386656558;0.0018953752843062926;0.3489859742228961;0.002843062926459439;0.00317475360121304;0.0;0.00042645943896891587;0.00018953752843062926;0.00018953752843062926;0.0019901440485216074;0.0;0.004122441243366187;0.009950720242608036;9.476876421531463e-05;0.001326762699014405;0.0012319939347990902;0.0;0.0;0.0018953752843062926;0.19029567854435178;0.3817031722054381;0.3122167673716012;0.3060800604229607;0.01926088318196054;0.6969934231130598;0.11869715001565925;0.1650485436893204;0.019254852849092046;0.019881026925485285;0.008453350031308704;0.007201001878522229;0.11474639949906074;0.1258609893550407;0.03287413901064496;0.11646837820914215;0.05729492798998122;0.013775829680651221;0.019254852849092046;0.011114589855979962;0.059486537257357544;0.0010958046336881652;0.04117094552285536;0.058860363180964305;0.12226048841577959;0.024264245460237945;0.05228553537883532;0.04586725109580463;0.04852849092047589;0.05318687671628848;0.6581875993640699;0.0;0.0;0.0;0.2826998121115768;0.000867177337765573;0.0007226477814713109;0.004335886688827865;0.0;0.9509464685528191;0.007531040097699979;0.025646244657032365;0.0012212497455729697;0.014654996946875637;0.25880676033394423;0.29688454489920585;0.2079006312360008;0.11443697821217674;0.12197108531867237;0.21189801699716715;0.24589235127478754;0.2104815864022663;0.16468366383380548;0.03059490084985836;0.09367327667610954;0.012370160528800755;0.003871576959395656;0.022474032105760152;0.004060434372049103
Arthabaska;44.9;46.4;2.1;87000;98800;2.8;42.4;0.496163358488173;0.503836641511827;0.16354873485953453;0.14693385756864735;0.17477328936521022;0.18212949457796943;0.21814953389561798;0.11446508973302048;0.5824314827828532;0.08039353478566409;0.0061841180604357;0.05200281096275474;0.2708362614195362;0.00028109627547435;0.0023893183415319747;0.0054813773717498245;0.6569702079820123;0.3430297920179876;0.0;0.8842090234151914;0.11579097658480868;0.0029886811649497648;0.9398448429352665;0.01036500063588961;0.0;0.01036500063588961;0.01939463309169528;0.0005087116876510238;0.012654203230319216;0.0035609818135571665;0.00031794480478188986;0.9804656669297553;0.019534333070244672;0.03873980531439095;0.024664561957379635;0.9365956327282294;0.0004425105096246036;0.43941293605723136;0.03211888782358581;0.0;0.0002212552548123018;0.0011431521498635592;0.3985544656685596;0.0006268898886348551;0.003208201194778376;0.000368758758020503;0.0;0.0;0.0009218968950512575;0.0001843793790102515;0.0;0.0001106276274061509;0.0019175455417066154;0.0;0.0;0.0038719669592152815;0.0;0.0;0.0006637657644369053;0.11623276052806254;0.3630820399113082;0.3339404497941083;0.3029775102945835;0.014091595369904378;0.7306240563663815;0.12304982385505787;0.13223452440865627;0.014088050314465408;0.05333333333333334;0.0031446540880503146;0.004528301886792453;0.07119496855345912;0.1979874213836478;0.03987421383647799;0.12515723270440252;0.031949685534591196;0.006415094339622641;0.02;0.007547169811320755;0.047547169811320754;0.0005031446540880503;0.029685534591194968;0.06540880503144654;0.13660377358490566;0.009433962264150943;0.055220125786163525;0.05157232704402516;0.02880503144654088;0.0056457304163726185;0.9110797459421313;0.0035285815102328866;0.0;0.0035285815102328866;0.068454481298518;0.00035285815102328866;0.004822394730651611;0.00258762644083745;0.0;0.9053148727110317;0.00401965163019205;0.059103766562453475;0.01205895489057615;0.01950275420574661;0.5701950275420574;0.2876284055381867;0.07964865267232396;0.03066845317850231;0.03185946106892958;0.24002217294900222;0.22006651884700665;0.21618625277161863;0.17374089325308836;0.028112131770668358;0.08544504276211594;0.011482420019005384;0.0054640481469749765;0.01789673740893253;0.0015837820715869496
Beauce-Nord;42.0;42.4;2.4;98000;107300;2.9;43.3;0.5098707197763801;0.49012928022361985;0.18983139687254302;0.15130601904429108;0.1956844588101686;0.18406569406831486;0.1934131213418363;0.08569930986284616;0.7490502321654706;0.08125791473195441;0.010552975939214858;0.031025749261291685;0.11291684254959898;0.00021105951878429716;0.006753904601097509;0.00823132123258759;0.7756910740662587;0.2243089259337413;0.0;0.9215941087286117;0.07840589127138835;0.002638290387828687;0.9574355817430306;0.004836865711019259;0.0;0.004836865711019259;0.0199630639345704;0.0004397150646381145;0.006683668982499341;0.0031659484653944244;0.0;0.9855863921217547;0.0144136078782453;0.02837450769781597;0.01611170784103115;0.9555137844611529;0.0004940711462450593;0.4481719367588933;0.03680830039525692;0.0;0.0001482213438735178;0.0007411067193675889;0.4059288537549407;0.0;0.001284584980237154;0.0;0.0001482213438735178;0.0;0.001284584980237154;0.0;0.0;9.881422924901186e-05;0.0016304347826086956;0.0001482213438735178;9.881422924901186e-05;0.0009881422924901185;0.0;0.0;0.0009387351778656126;0.10108695652173913;0.2870318924324925;0.40204467163018115;0.31092343593732635;0.010675589547482474;0.7296048438495857;0.1215742511153601;0.1381453154875717;0.010673888800382348;0.06738888003823483;0.0012744941851202804;0.002867611916520631;0.10243747012904253;0.21061016409112635;0.027242313206945992;0.10880994105464394;0.035685837183367854;0.009399394615262067;0.029791301577186555;0.008762147522701928;0.04699697307631034;0.0007965588657001752;0.025649195475545644;0.05735223833041262;0.11486378843396527;0.006213159152461367;0.04237693165524932;0.045722478891190056;0.045085231798629916;0.004767580452920143;0.9109058402860548;0.0007449344457687723;0.0;0.0007449344457687723;0.07672824791418355;0.0;0.0034266984505363527;0.0026817640047675805;0.0;0.936837897261643;0.0029982010793523886;0.043773735758544874;0.004797121726963821;0.011593044173495902;0.4305694305694306;0.3116883116883117;0.16363636363636364;0.05474525474525475;0.03936063936063936;0.2081342371374597;0.22458050894543838;0.23302589176575175;0.18124236026225135;0.025780642293588178;0.09267696410712302;0.011556839648849872;0.003778197577508612;0.016779642182464718;0.002444716079564396
Beauce-Sud;43.7;45.2;2.2;89000;102800;2.8;43.1;0.5097885053856436;0.4902114946143565;0.1704018243296375;0.1477549736573091;0.18156797986946607;0.19407092867814738;0.2138869230164347;0.09231737044900527;0.6802863628426751;0.0752575519469181;0.010825912345032303;0.034223851929456955;0.178452942203597;0.010825912345032303;0.007333682556312206;0.002793783830976078;0.7019717326819054;0.29802826731809456;0.0;0.9123336291038154;0.08766637089618456;0.0033196332595637054;0.953841289914638;0.0061650331963325955;0.0;0.0061650331963325955;0.01920644957319001;0.0007113499841922225;0.0075877331647170405;0.0029244388239013596;7.903888713246918e-05;0.9770704722199952;0.02292952778000481;0.03575723562895855;0.021245891124829632;0.9429968732462118;0.0001305653479566523;0.45728337032684857;0.0329459894677286;0.0;0.00017408713060886974;0.003090046568307438;0.413326369848109;0.00021760891326108716;0.0017408713060886973;0.0;0.0;0.0;0.0025242633938286113;0.0;0.0004787396091743918;0.0;0.002698350524437481;0.0;0.0;0.0029594812203507857;0.0;0.0;0.0011315663489576532;0.08129868999434217;0.34289604201108626;0.35155110376349313;0.3055528542254206;0.012407323346951127;0.7394462097140263;0.12679679225298834;0.12134967468603419;0.012414837244511734;0.04996214988644966;0.0021196063588190765;0.001514004542013626;0.09856169568508706;0.24072672218016655;0.019379258137774413;0.11763815291445874;0.03936411809235428;0.004844814534443603;0.0186222558667676;0.007721423164269493;0.04193792581377744;0.0;0.021347464042392128;0.06283118849356548;0.1312641937925814;0.006661619984859955;0.04511733535200606;0.050870552611657835;0.027100681302043905;0.00843644544431946;0.905511811023622;0.0022497187851518562;0.0;0.0022497187851518562;0.07536557930258718;0.000984251968503937;0.00281214848143982;0.002390326209223847;0.0;0.9405613648871767;0.002568336085121996;0.040176114474408366;0.00366905155017428;0.013025133003118694;0.48495412844036695;0.318348623853211;0.12293577981651377;0.031926605504587154;0.0418348623853211;0.26837806301050177;0.21868922598210813;0.2268572539867756;0.15781796966161027;0.024115130299494362;0.07827693504472967;0.009529366005445352;0.0021392454297938547;0.0117658498638662;0.0024309607156748347
Beauharnois;44.5;45.6;2.1;90000;99800;2.8;41.9;0.4921320831634733;0.5078679168365267;0.15493761722253935;0.1558346244801435;0.18241865775095817;0.1859251406670472;0.21935904754138466;0.1015249123379271;0.4958531851067584;0.056820187047820714;0.014999117698958885;0.12263984471501677;0.3019234162696312;0.0;0.0026469031233456856;0.005117346038468326;0.5855983056830215;0.4144016943169785;0.0;0.837035720632664;0.16296427936733607;0.025752125572269458;0.8907782864617397;0.005313930673642904;8.175277959450622e-05;0.005313930673642904;0.05510137344669719;0.002534336167429693;0.008011772400261609;0.006703727926749509;0.00040876389797253105;0.9883399043704387;0.011660095629561279;0.037580739870816206;0.03892290915191678;0.923496350977267;0.0004887346659498558;0.41747715165436683;0.0257563168955574;0.0;0.001515077464444553;0.0010263427984946972;0.37808513757880846;0.0013195835980646107;0.003127901862079077;0.0006353550657348125;0.0;0.0;0.0014662039978495674;0.0002932407995699135;0.0;0.0004398611993548702;0.003714383461218904;0.00014662039978495674;0.0002443673329749279;0.003861003861003861;0.0;0.0;0.0013195835980646107;0.15908313376667807;0.39003693720674854;0.32934012179295197;0.2806229410002995;0.02002979639132594;0.7631186889587817;0.11769574573746068;0.09915576891243172;0.020023167301009434;0.017871917921562137;0.0026476915439351315;0.014562303491643223;0.09366208836670528;0.12593082905841468;0.027966241932814828;0.12824755915935793;0.06288267416845937;0.008108555353301341;0.0231673010094324;0.009266920403772961;0.03888796955154725;0.0008274036074797286;0.03789508522257157;0.06437200066192289;0.16945225881184842;0.010259804732748635;0.04765844779083237;0.05063710077775939;0.04567267913288102;0.018824255516124055;0.7551303811140256;0.0007714858818083629;0.0;0.0007714858818083629;0.22033636784446844;0.0007714858818083629;0.0007714858818083629;0.002623051998148434;0.0;0.9296135646687698;0.010055205047318612;0.043769716088328074;0.005717665615141956;0.01084384858044164;0.3896334253054789;0.3159243200630666;0.16338194718171067;0.08119826566811195;0.049862041781631845;0.2434348477284074;0.2476285571642536;0.22476285571642537;0.1579630554168747;0.024163754368447327;0.07249126310534199;0.010184722915626561;0.0020968547179231155;0.015676485272091863;0.0015976035946080878
Bellechasse;44.2;46.0;2.2;95000;103900;2.8;43.1;0.5137670992634163;0.48623290073658365;0.16916600894501446;0.14189248443392088;0.1796018591598702;0.1945102166096641;0.21774971498728404;0.09707971586424625;0.7776427703523694;0.044349939246658567;0.010935601458080195;0.036046982584042125;0.11624139327663022;0.0006075334143377885;0.004050222762251924;0.01012555690562981;0.7757538959724752;0.2242461040275248;0.0;0.918388645376748;0.08161135462325193;0.0032766560396741058;0.9596174282678002;0.00416223875309954;0.0;0.00416223875309954;0.017888770811193767;0.0005313496280552603;0.007616011335458732;0.002656748140276302;8.855827134254339e-05;0.9839596287284852;0.016040371271514822;0.030548796972154638;0.01640082905289718;0.9530503739749482;0.00019979022026871785;0.4459317716397782;0.03591229209330203;0.0;0.0002497377753358973;0.00044952799560461516;0.40302682183707106;0.0;0.00279706308376205;0.0;0.0;0.0;0.0009989511013435892;0.0;0.0;0.0;0.0022975875330902553;0.0;0.0;0.0017981119824184606;0.0;0.0;0.000749213326007692;0.10558913141201738;0.3298417894162575;0.3756683033278778;0.2944899072558647;0.014161946017994002;0.7344218593802065;0.1262912362545818;0.1251249583472176;0.014173753543438385;0.06770051692512923;0.0030015007503751876;0.002834750708687677;0.09071202267800567;0.19159579789894948;0.03151575787893947;0.103885275971319;0.04418876104719026;0.004669001167250292;0.05536101384025346;0.007170251792562948;0.04435551108887777;0.00033350008337502084;0.027013506753376687;0.052359513089878275;0.12923128230782058;0.008170752042688011;0.03151575787893947;0.04852426213106553;0.041687510421877606;0.0051226327227569075;0.9071716858118597;0.00046569388388699164;0.0;0.00046569388388699164;0.0832039739211425;0.0;0.0020180068301769638;0.001552312946289972;0.0;0.9241437276738811;0.004622819920151292;0.05316242908173986;0.0052532044547173775;0.012817818869510401;0.36738125262715426;0.3287095418242959;0.20449768810424548;0.0582177385456074;0.04119377889869693;0.21695951107715813;0.2099748990505293;0.24206046054785552;0.18105423987776928;0.026847102477354577;0.0882898613991051;0.011131725417439703;0.0030557677616501145;0.018116337444068535;0.002510094947069737
