"Numéro de la circonscription";"Numéro du candidat";"Nom";"Prénom";"Numéro du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux de vote";"Nombre de votes en avance"
"579";"436";"Bourgeois";"Guy";"6";"P.L.Q./Q.L.P.";"8476";"41.09";"2159"
"579";"694";"Larouche";"Élizabeth";"8";"P.Q.";"6317";"30.63";"0"
"579";"690";"Martel";"Sylvain";"27";"C.A.Q.-É.F.L.";"3927";"19.04";"0"
"579";"582";"Dufour";"Valérie";"11";"Q.S.";"1469";"7.12";"0"
"579";"786";"Trudel";"Richard";"26";"O.N. - P.I.Q.";"235";"1.14";"0"
"579";"616";"Perron-Tellier";"Maxym";"22";"É.A.P. - P.C.Q.";"202";"0.98";"0"
"573";"490";"Gendron";"François";"8";"P.Q.";"9267";"42.22";"1652"
"573";"358";"Bastien";"Serge";"6";"P.L.Q./Q.L.P.";"7615";"34.7";"0"
"573";"629";"Racine";"Nadia";"27";"C.A.Q.-É.F.L.";"3084";"14.05";"0"
"573";"485";"Camirand";"Ghislaine";"11";"Q.S.";"1354";"6.17";"0"
"573";"488";"Vézeau";"Grégory";"26";"O.N. - P.I.Q.";"627";"2.86";"0"
"437";"246";"St-Pierre";"Christine";"6";"P.L.Q./Q.L.P.";"24211";"70.96";"20226"
"437";"394";"Abitbol";"Évelyne";"8";"P.Q.";"3985";"11.68";"0"
"437";"634";"Pourreaux";"Serge";"27";"C.A.Q.-É.F.L.";"3050";"8.94";"0"
"437";"683";"Dick";"Geneviève";"11";"Q.S.";"2241";"6.57";"0"
"437";"237";"Nyaburerwa";"Alix";"10";"P.V.Q./G.P.Q.";"405";"1.19";"0"
"437";"608";"Boivin";"Julie";"26";"O.N. - P.I.Q.";"162";"0.47";"0"
"437";"596";"Breton";"Yvon";"7";"P.M.L.Q.";"67";"0.2";"0"
"373";"417";"Thériault";"Lise";"6";"P.L.Q./Q.L.P.";"16049";"50.81";"8723"
"373";"426";"Chouakri";"Yasmina";"8";"P.Q.";"7326";"23.19";"0"
"373";"164";"Campeau";"Richard";"27";"C.A.Q.-É.F.L.";"5315";"16.83";"0"
"373";"483";"Lessard";"Marlène";"11";"Q.S.";"2448";"7.75";"0"
"373";"889";"Teclou";"Annibal";"10";"P.V.Q./G.P.Q.";"303";"0.96";"0"
