"Numéro de la circonscription";"Nom de la circonscription";"Dernière date de mise à jour au format ISO 8601";"Résultats finaux";"Nombre de bureaux complétés";"Nombre total de bureaux";"Nombre de votes valides";"Nombre de votes rejetés";"Nombre de votes exercés";"Nombre d'électeurs inscrits";"Taux de vote valide";"Taux de vote rejeté";"Taux de participation"
"579";"Abitibi-Est";"2014-04-15T02:24:38,653-04:00";"true";"143";"143";"20626";"525";"21151";"33638";"97.52";"2.48";"62.88"
"573";"Abitibi-Ouest";"2014-04-15T02:24:38,653-04:00";"true";"164";"164";"21947";"468";"22415";"35382";"97.91";"2.09";"63.35"
"437";"Acadie";"2014-04-15T02:24:38,653-04:00";"true";"195";"195";"34121";"318";"34439";"49413";"99.08";"0.92";"69.7"
"373";"Anjou-Louis-Riel";"2014-04-15T02:24:38,653-04:00";"true";"135";"135";"31588";"454";"32042";"43718";"98.58";"1.42";"73.29"
"535";"Argenteuil";"2014-04-15T02:24:38,653-04:00";"true";"153";"153";"30527";"443";"30970";"44931";"98.57";"1.43";"68.93"
"323";"Arthabaska";"2014-04-15T02:24:38,653-04:00";"true";"194";"194";"42634";"620";"43254";"59032";"98.57";"1.43";"73.27"
"309";"Beauce-Nord";"2014-04-15T02:24:38,653-04:00";"true";"160";"160";"30973";"268";"31241";"42229";"99.14";"0.86";"73.98"
"293";"Beauce-Sud";"2014-04-15T02:24:38,653-04:00";"true";"164";"164";"33774";"349";"34123";"48193";"98.98";"1.02";"70.8"
"153";"Beauharnois";"2014-04-15T02:24:38,653-04:00";"true";"177";"177";"30620";"645";"31265";"46006";"97.94";"2.06";"67.96"
"303";"Bellechasse";"2014-04-15T02:24:38,653-04:00";"true";"169";"169";"32153";"316";"32469";"43158";"99.03";"0.97";"75.23"
"353";"Berthier";"2014-04-15T02:24:38,653-04:00";"true";"216";"216";"38057";"718";"38775";"56312";"98.15";"1.85";"68.86"
"525";"Bertrand";"2014-04-15T02:24:38,653-04:00";"true";"221";"221";"40794";"559";"41353";"58161";"98.65";"1.35";"71.1"
"473";"Blainville";"2014-04-15T02:24:38,653-04:00";"true";"218";"218";"44449";"868";"45317";"58968";"98.08";"1.92";"76.85"
"713";"Bonaventure";"2014-04-15T02:24:38,653-04:00";"true";"158";"158";"24902";"222";"25124";"36179";"99.12";"0.88";"69.44"
"243";"Borduas";"2014-04-15T02:24:38,653-04:00";"true";"195";"195";"42782";"727";"43509";"56663";"98.33";"1.67";"76.79"
"431";"Bourassa-Sauvé";"2014-04-15T02:24:38,653-04:00";"true";"160";"160";"29606";"552";"30158";"47769";"98.17";"1.83";"63.13"
"377";"Bourget";"2014-04-15T02:24:38,653-04:00";"true";"168";"168";"33149";"577";"33726";"49334";"98.29";"1.71";"68.36"
"129";"Brome-Missisquoi";"2014-04-15T02:24:38,653-04:00";"true";"222";"222";"40683";"623";"41306";"56480";"98.49";"1.51";"73.13"
